 Site Name , Ground Mounted/ Roof top ,, State ," DC Capacity
MWp "," AC Capacity
MW ",Expected Generation,Guaranteed Generation (kWh),Inverter Generation (kWh),ABT Meter Generation at Plant End (kWh),Generation difference (%),DC-CUF,AC-CUF,Pvsyst Irradiation (kWh/m2),Actual Irradiation (kWh/m2),Radiation Difference (%),PR,Plant Availability,Grid Availability,Losses due to Grid Unavailability,Losses due to Plant Unavailability,Remarks,,,,,MTD
GHCL Phase-1_Musiri,GM,26-Apr,Tamilnadu,10,7.5,1206836,1191870,1219033,1200480,0.72%,16.93%,22.57%,175,177,1.30%,68.70%,100.00%,94.50%,108357,0,,,,,GHCL-1,Vivekanand
GHCL Phase-2_Musiri,GM,26-Apr,Tamilnadu,10,7.5,1205000,1112412,1243665,1222900,9.93%,17.27%,23.03%,164,177,8.30%,70.20%,100.00%,97.10%,61636,1236,,,,,GHCL-2,Prince
GHCL Phase-3_Ottapidaram,GM,26-Apr,Tamilnadu,21.21,16,2824605,2793933,2568438,2509200,-10.19%,16.82%,20.36%,165,152,-8.30%,79.90%,99.70%,99.70%,0,366,,,,,Pollax,Kiran
Thaiagarajar Mills_Ottapidaram,GM,26-Apr,Tamilnadu,10,7.67,1316439,1096713,1230156,1190610,8.56%,17.09%,20.37%,161,163,0.80%,75.60%,99.90%,100.00%,0,1458,,,,,GHCL-3,Majethiya
Pollax solar solution_Otaapidaram,GM,26-Apr,Tamilnadu,15,12.1,1916487,1886328,1778278,1752000,-7.12%,16.47%,19.04%,161,148,-8.20%,80.00%,100.00%,100.00%,0,0,,,,,TMILLS,Centenary
VTM Limited,GM,26-Apr,Tamilnadu,2.21,1.76,304803,285201,262496,258720,-9.29%,16.53%,19.25%,165,149,-9.70%,79.90%,100.00%,100.00%,0,0,,,,,VTM,Sainest
Jothi Malleable & Microcast_TSU5_Karambakuddi,GM,26-Apr,Tamilnadu,12,9,1695890,1586196,1751556,1699488,7.14%,21.72%,26.06%,163,174,6.90%,83.90%,100.00%,99.90%,1852,0,,,,,JOTHI,Orito
GHCL Limited RT_Manaparai,RT,26-Apr,Tamilnadu,3.89,3.08,550277,541160,486926,459791,-15.04%,18.62%,21.67%,168,167,-0.50%,75.10%,100.00%,99.70%,0,0,,,,,GHCL MANA,Universal
GHCL Limited RT_Paravai,RT,26-Apr,Tamilnadu,1.3,1.1,181404,180441,153221,154909,-14.15%,16.41%,18.41%,179,163,-8.80%,72.50%,100.00%,99.80%,0,0,,,,,GHCL Para,Aditya-Arka
GHCL Limited RT_Paravai-2,RT,26-Apr,Tamilnadu,2.8,2.2,0,0,386047,386402,#DIV/0!,19.18%,22.62%,0,173,#DIV/0!,79.80%,100.00%,99.90%,0,0,,,,,GHCL Para-2,GHCL-1
Suriya Spinning mills_Aviyoor,GM,26-Apr,Tamilnadu,1.48,1.1,182597,172695,203201,200352,16.02%,21.20%,25.91%,154,174,12.90%,78.80%,100.00%,98.10%,5957,0,,,,,SURIYA,GHCL-2
Pantech Synergy_Aviyoor,GM,26-Apr,Tamilnadu,2.61,1.9,363860,341348,354233,348936,2.22%,20.21%,25.05%,160,170,6.00%,80.00%,100.00%,98.40%,9934,0,,,,,PANTECH,Pollax
Parvathi Dyeing_Aviyoor,GM,26-Apr,Tamilnadu,1.75,1.38,236638,223525,204426,202480,-9.42%,18.03%,21.39%,154,170,9.80%,68.90%,86.00%,97.80%,7280,34969,,,,,PARVATHI,GHCL-3
Bangalore internation airport limited,GM,26-Apr,Karnataka,7.02,5.72,980110,959723,1052117,935439,-2.53%,22.31%,25.83%,180,175,-3.10%,85.80%,100.00%,99.80%,1500,0,,,,,BIAL,TMILLS
Bhargavi Renewables_Tharad,GM,26-Apr,Gujarat,32.07,24.2,4684008,4542000,3943895,3825750,-15.77%,21.35%,26.34%,177,165,-6.60%,74.50%,100.00%,100.00%,512598,3935,,,,,BRPL,VTM
Pidilite Industries Limited_Pransla,GM,26-Apr,Gujarat,1.81,1.58,300344,287691,301878,301878,4.93%,24.03%,29.45%,248,212,-14.30%,78.80%,92.40%,99.70%,17927,0,,,,,Pidilite,JOTHI
Greenbloom Energy_Balachadi,GM,26-Apr,Gujarat,4.4,3.96,725209,625528,714049,700300,11.95%,24.15%,26.12%,210,214,2.00%,75.80%,99.70%,96.90%,32173,2077,,,,,Greenbloom,SURIYA
Isha Snacks_Varahi,GM,26-Apr,Gujarat,1.12,0.88,154818,134285,142909,141400,5.30%,22.07%,26.56%,174,165,-5.00%,77.10%,99.70%,95.70%,9540,411,,,,,Isha,PANTECH
Enviro Vimalachal_Varahi,GM,26-Apr,Gujarat,1.82,1.54,250128,217200,238146,234080,7.77%,22.75%,25.67%,174,165,-4.80%,79.40%,99.50%,96.60%,10660,936,,,,,Enviro,PARVATHI
Vimalachal Print & Packs_Varahi,GM,26-Apr,Gujarat,2.53,1.98,380669,332415,333901,328500,-1.18%,22.96%,27.53%,174,167,-3.50%,79.00%,99.50%,97.50%,12664,1352,,,,,Vimalachal,GHCL MANA
GSECL_Vasundhara,GM,26-Apr,Gujarat,18.09,14,2216544,2115792,4332336,2147400,4.26%,21.17%,27.35%,160,157,-1.80%,77.80%,100.00%,94.40%,221662,0, ,,,,Vasundhara,GHCL Para
Pudumjee,GM,26-Apr,Maharashtra,21.5,15.4,2328207,2189481,2410515,2409540,10.05%,15.57%,21.74%,199,142,-28.50%,79.00%,99.80%,99.40%,14060,4218, ,,,,Pudumjee,GHCL Para-2
Venus Denim-01,GM,26-Apr,Gujarat,3.33,2.42,450892,395968,405353,399060,0.78%,16.91%,23.26%,172,163,-5.60%,74.90%,99.10%,94.30%,34334,3447, ,,,,Venus Denim-01,BIAL
Venus Denim-02,GM,26-Apr,Gujarat,1.8,1.54,243800,214107,225776,222320,3.84%,17.41%,20.36%,172,163,-5.60%,77.10%,99.10%,97.00%,9620,1872, ,,,,Venus Denim-02,BRPL
Vishal Spintex,GM,26-Apr,Gujarat,5.15,3.96,855370,760380,801525,781250,2.74%,21.62%,28.11%,211,199,-5.60%,78.30%,99.80%,95.80%,42836,2630, ,,,,Vishal Spintex,Pidilite
Madura Textiles,GM,26-Apr,Gujarat,65,50,7735659,6923207,7667930,7452900,7.65%,16.38%,21.30%,173,155,-10.60%,76.10%,100.00%,99.60%,378885,2576, ,,,,Madura textiles,Greenbloom
Alkyl Amines,GM,26-Apr,Maharashtra,3.75,3,425720,397700,326224,320040,-19.53%,12.08%,15.10%,135,134,-0.80%,65.10%,100.00%,84.40%,61759,0, ,,,,Alkyl Amines,Isha
Pro-zeal green power five_Greenpro_KA,GM,26-Apr,Karnataka,3.93,2.86,540193,483324,521818,516960,6.96%,18.45%,23.19%,161,163,1.50%,81.40%,99.60%,99.90%,0,0,,,,,PGP5,Enviro
Rishi FIBC_Bommalapura,GM,26-Apr,Karnataka,3.72,3.3,548119,494519,521622,519460,5.04%,19.49%,21.22%,161,162,0.80%,86.60%,98.70%,100.00%,0,0,,,,,Rishi Bommalapura,Vimalachal
Rishi FIBC_Tearakanambi,GM,26-Apr,Karnataka,4,3.2,496697,475235,452740,450920,-5.12%,15.72%,18.56%,158,160,1.40%,70.80%,100.00%,94.10%,0,0,,,,,RISHI Terakanambi,Vasundhara
Automotive axels GO-1_TSU3_KA,GM,26-Apr,Karnataka,6,4.9,789435,762006,816452,798750,4.82%,18.90%,21.66%,164,173,5.20%,78.60%,100.00%,99.80%,0,556,,,,,AAL GO-1,Pudumjee
Automotive axels GO-2_TSU3_KA,GM,26-Apr,Karnataka,6,4.5,793402,764455,815836,801270,4.82%,18.89%,23.04%,164,172,4.40%,79.20%,100.00%,99.80%,0,1066,,,,,AAL GO-2,Venus Denim-01
ACG_Tuljapur,GM,26-Apr,Maharashtra,12.3,10.12,1556230,1517620,1525862,1495935,-1.43%,17.23%,19.85%,172,157,-8.70%,79.20%,100.00%,100.00%,68285,8421,,,,,ACG_Tuljapur,Venus Denim-02
Aarti_Akola,GM,26-Apr,Maharashtra,21,14.85,2999178,2317536,2550625,2531100,9.22%,16.87%,21.66%,173,175,0.80%,69.50%,100.00%,95.90%,117502,0,,,,,Aarti_Akola,Vishal Spintex
ACG_PZ4,GM,26-Apr,Maharashtra,8.39,6,1099956,989950,1086597,1075080,8.60%,17.99%,22.91%,182,173,-5.00%,74.90%,99.70%,93.80%,66878,8536,,,,,ACG_PZ4,Madura textiles
ACG_PAM,GM,26-Apr,Maharashtra,1.9,1.54,268034,268034,271446,266625,-0.53%,19.84%,23.00%,174,173,-0.70%,82.60%,100.00%,100.00%,0,0,,,,,ACG_PAM,Alkyl Amines
ACG_PGP3,GM,26-Apr,Maharashtra,6,3.9,808132,727298,775711,773730,6.38%,17.96%,24.66%,182,174,-4.20%,74.30%,99.50%,95.90%,30259,2002,,,,,ACG_PGP3,PGP5
Asahi Songwon_ Balasinor,GM,26-Apr,Gujarat,4.9,3.96,694070,660036,585919,573500,-13.11%,16.61%,19.18%,181,172,-4.70%,69.50%,98.90%,99.00%,52347,6334,,,,,Asahi Songwon_ Balasinor,Rishi Bommalapura
